Subdistt,Town/Village,Ward,EB,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,Level
0,0,0,0,1285156,5937237,3035469,2901768,736748,380349,356399,762320,383179,379141,591820,296057,295763,4370966,2404881,1966085,1566271,630588,935683,2117111,1611608,505503,1876443,1483423,393020,80923,59701,21222,113478,66452,47026,56919,40077,16842,1625123,1317193,307930,240668,128185,112483,22808,9694,13114,83584,34849,48735,8656,4078,4578,125620,79564,46056,194758,104926,89832,17794,7809,9985,69365,29744,39621,6807,3242,3565,100792,64131,36661,45910,23259,22651,5014,1885,3129,14219,5105,9114,1849,836,1013,24828,15433,9395,3820126,1423861,2396265,1
0,0,0,0,20380315,91276115,46809027,44467088,10581466,5410396,5171070,21463270,11003304,10459966,5296953,2649974,2646979,61538281,33818810,27719471,29737834,12990217,16747617,34756355,26716047,8040308,25686630,21678279,4008351,4203767,3940399,263368,5869498,4943086,926412,1518128,869039,649089,14095237,11925755,2169482,9069725,5037768,4031957,912921,559642,353279,4319344,2509728,1809616,945996,245644,700352,2891464,1722754,1168710,7048294,4015867,3032427,698206,440464,257742,3300617,1982485,1318132,714472,190430,524042,2334999,1402488,932511,2021431,1021901,999530,214715,119178,95537,1018727,527243,491484,231524,55214,176310,556465,320266,236199,56519760,20092980,36426780,1
0,0,0,0,18913565,104099452,54278157,49821295,19133964,9887239,9246725,16567325,8606253,7961072,1336573,682516,654057,52504553,31608023,20896530,51594899,22670134,28924765,34724987,25222189,9502798,21359611,17270690,4088921,5413181,4688683,724498,9537418,7373292,2164126,779576,488797,290779,5629436,4719918,909518,13365376,7951499,5413877,1783045,1056737,726308,8808231,5197425,3610806,631632,273321,358311,2142468,1424016,718452,10922864,6728476,4194388,1446100,886729,559371,7211520,4416964,2794556,465751,213329,252422,1799493,1211454,588039,2442512,1223023,1219489,336945,170008,166937,1596711,780461,816250,165881,59992,105889,342975,212562,130413,69374465,29055968,40318497,1
0,0,0,0,105812,525435,269135,256300,93384,47489,45895,298,209,89,507467,257987,249480,363334,195400,167934,162101,73735,88366,252382,145091,107291,217824,134888,82936,170274,101909,68365,12448,7572,4876,1556,999,557,33546,24408,9138,34558,10203,24355,21920,5904,16016,6637,1983,4654,946,246,700,5055,2070,2985,25143,6745,18398,15295,3530,11765,5123,1424,3699,676,154,522,4049,1637,2412,9415,3458,5957,6625,2374,4251,1514,559,955,270,92,178,1006,433,573,273053,124044,149009,1
0,0,0,0,7946657,37469335,18929354,18539981,4517645,2317069,2200576,7495763,3771506,3724257,3429791,1723762,1706029,22649176,12893437,9755739,14820159,6035917,8784242,18502230,11311426,7190804,15060905,10003021,5057884,5824702,4394613,1430089,4795763,2415657,2380106,378691,178311,200380,4061749,3014440,1047309,3441325,1308405,2132920,516228,171064,345164,1941450,631459,1309991,143909,52175,91734,839738,453707,386031,3036548,1140372,1896176,450101,145760,304341,1788696,577507,1211189,114942,40907,74035,682809,376198,306611,404777,168033,236744,66127,25304,40823,152754,53952,98802,28967,11268,17699,156929,77509,79420,18967105,7617928,11349177,1
0,0,0,0,13214738,61556074,31539034,30017040,7688954,4067399,3621555,7494819,3825053,3669766,9006077,4540456,4465621,41482761,23391475,18091286,20073313,8147559,11925754,30650871,17887071,12763800,26510066,16188697,10321369,11170114,6938469,4231645,10449281,5451250,4998031,444965,264175,180790,4445706,3534803,910903,4140805,1698374,2442431,1046449,386411,660038,2271712,855898,1415814,134724,47712,87012,687920,408353,279567,3521064,1442501,2078563,868588,314626,553962,1977391,746396,1230995,102358,36900,65458,572727,344579,228148,619741,255873,363868,177861,71785,106076,294321,109502,184819,32366,10812,21554,115193,63774,51419,30905203,13651963,17253240,1
0,0,0,0,855556,3673917,1874376,1799541,458014,234008,224006,654918,334370,320548,1166813,588327,578486,2804783,1501369,1303414,869134,373007,496127,1469521,1045326,424195,1077019,887881,189138,246707,210117,36590,201863,156850,45013,19296,12814,6482,609153,508100,101053,392502,157445,235057,49240,18751,30489,151755,57256,94499,22200,4671,17529,169307,76767,92540,298562,126729,171833,40681,15605,25076,125005,47995,77010,16244,3405,12839,116632,59724,56908,93940,30716,63224,8559,3146,5413,26750,9261,17489,5956,1266,4690,52675,17043,35632,2204396,829050,1375346,1
0,0,0,0,3435999,16787941,8987326,7800615,2012454,1075440,937014,2812309,1488800,1323509,0,0,0,12737767,7194856,5542911,4050174,1792470,2257704,5587049,4762026,825023,5307329,4562710,744619,27759,24225,3534,31474,25632,5842,169126,146069,23057,5078970,4366784,712186,279720,199316,80404,5639,3233,2406,8001,5720,2281,12726,6689,6037,253354,183674,69680,235250,166929,68321,5267,3011,2256,6430,4578,1852,10127,5468,4659,213426,153872,59554,44470,32387,12083,372,222,150,1571,1142,429,2599,1221,1378,39928,29802,10126,11200892,4225300,6975592,1
0,0,0,0,4729369,25055073,12776486,12278587,4367507,2231494,2136013,3152863,1612513,1540350,7868150,3928323,3939827,12643078,7682731,4960347,12411995,5093755,7318240,10777152,6484142,4293010,4886840,3563422,1323418,1966656,1415112,551544,1197462,796592,400870,193078,101012,92066,1529644,1250706,278938,5890312,2920720,2969592,1785958,832633,953325,3141840,1480047,1661793,186276,72399,113877,776238,535641,240597,4630514,2415831,2214683,1392182,680304,711878,2478027,1230214,1247813,140149,57300,82849,620156,448013,172143,1259798,504889,754909,393776,152329,241447,663813,249833,413980,46127,15099,31028,156082,87628,68454,14277921,6292344,7985577,1
0,0,0,0,6406471,31205576,15939443,15266133,4638130,2363485,2274645,2231321,1145314,1086007,3884371,1957005,1927366,19177977,10568639,8609338,12027599,5370804,6656795,11969690,8541560,3428130,8687123,7034642,1652481,3138554,2698384,440170,903294,705306,197988,242071,146566,95505,4403204,3484386,918818,3282567,1506918,1775649,923073,401379,521694,942052,423904,518148,249250,59178,190072,1168192,622457,545735,2697230,1251614,1445616,745491,328113,417378,772239,351027,421212,195248,46412,148836,984252,526062,458190,585337,255304,330033,177582,73266,104316,169813,72877,96936,54002,12766,41236,183940,96395,87545,19235886,7397883,11838003,1
